25620516;41.14996;-8.614044;-0.1503434;0.7182022
25620518;41.14993;-8.614813;-0.1503568;0.7182017
25620570;41.15299;-8.612018;-0.1503081;0.7182552
25620653;41.1536;-8.611996;-0.1503077;0.7182658
25620737;41.14795;-8.612149;-0.1503104;0.7181672
25620759;41.1488;-8.612135;-0.1503101;0.718182
25620947;41.14717;-8.612186;-0.150311;0.7181537
25620960;41.14599;-8.612215;-0.1503115;0.718133
747467609;41.14998;-8.613142;-0.1503277;0.7182026
747467615;41.15048;-8.611148;-0.1502929;0.7182114
747467619;41.15003;-8.612991;-0.1503251;0.7182035
1106006327;41.15027;-8.612099;-0.1503095;0.7182077
1386051845;41.14827;-8.612989;-0.150325;0.7181728
1676280555;41.14942;-8.611213;-0.150294;0.7181929
2246054719;41.14818;-8.612148;-0.1503103;0.7181712
2246086928;41.14825;-8.61215;-0.1503104;0.7181724
2246088571;41.1483;-8.612989;-0.150325;0.7181733
2378113687;41.14983;-8.612984;-0.1503249;0.7182
2378113695;41.1489;-8.612988;-0.150325;0.7181837
2378186481;41.1501;-8.612802;-0.1503218;0.7182048
2875262073;41.14998;-8.613079;-0.1503266;0.7182026
2875262080;41.15007;-8.612912;-0.1503237;0.7182043
2893310955;41.15061;-8.610867;-0.150288;0.7182136
2893310956;41.15052;-8.611007;-0.1502904;0.718212
2893310957;41.15055;-8.61093;-0.1502891;0.7182127
2893310958;41.15053;-8.610963;-0.1502897;0.7182122
2893310959;41.15057;-8.6109;-0.1502886;0.718213
2893389981;41.1498;-8.612104;-0.1503096;0.7181996
3130312334;41.14931;-8.611385;-0.150297;0.7181909
3388020769;41.14603;-8.612208;-0.1503114;0.7181337
3388020773;41.14609;-8.612206;-0.1503114;0.7181348
4526972150;41.14833;-8.612989;-0.150325;0.7181739
