1;25;250
2;50;250
3;75;250
4;100;250
5;125;250
6;150;250
7;175;250
8;200;250
9;225;250
10;250;250
11;275;250
12;300;250
121;325;250
122;350;250
123;375;250
125;400;250
126;425;250
127;450;250
128;475;250
129;500;250
13;25;225
14;50;225
15;75;225
16;100;225
17;125;225
18;150;225
19;175;225
20;200;225
21;225;225
22;250;225
23;275;225
24;300;225
130;325;225
131;350;225
132;375;225
133;400;225
134;425;225
135;450;225
136;475;225
137;500;225
25;25;200
26;50;200
27;75;200
28;100;200
29;125;200
30;150;200
31;175;200
32;200;200
33;225;200
34;250;200
35;275;200
36;300;200
138;325;200
139;350;200
140;375;200
141;400;200
142;425;200
143;450;200
144;475;200
145;500;200
37;25;175
38;50;175
39;75;175
40;100;175
41;125;175
42;150;175
43;175;175
44;200;175
45;225;175
46;250;175
47;275;175
48;300;175
146;325;175
147;350;175
148;375;175
149;400;175
150;425;175
151;450;175
152;475;175
153;500;175
49;25;150
50;50;150
51;75;150
52;100;150
53;125;150
54;150;150
55;175;150
56;200;150
57;225;150
58;250;150
59;275;150
60;300;150
154;325;150
155;350;150
156;375;150
157;400;150
158;425;150
159;450;150
160;475;150
161;500;150
61;25;125
62;50;125
63;75;125
64;100;125
65;125;125
66;150;125
67;175;125
68;200;125
69;225;125
70;250;125
71;275;125
72;300;125
162;325;125
163;350;125
164;375;125
165;400;125
166;425;125
167;450;125
168;475;125
169;500;125
73;25;100
74;50;100
75;75;100
76;100;100
77;125;100
78;150;100
79;175;100
80;200;100
81;225;100
82;250;100
83;275;100
84;300;100
170;325;100
171;350;100
172;375;100
173;400;100
174;425;100
175;450;100
176;475;100
177;500;100
85;25;75
86;50;75
87;75;75
88;100;75
89;125;75
90;150;75
91;175;75
92;200;75
93;225;75
94;250;75
95;275;75
96;300;75
178;325;75
179;350;75
180;375;75
181;400;75
182;425;75
183;450;75
184;475;75
185;500;75
97;25;50
98;50;50
99;75;50
100;100;50
101;125;50
102;150;50
103;175;50
104;200;50
105;225;50
106;250;50
107;275;50
108;300;50
186;325;50
187;350;50
188;375;50
189;400;50
190;425;50
191;450;50
192;475;50
193;500;50
109;25;25
110;50;25
111;75;25
112;100;25
113;125;25
114;150;25
115;175;25
116;200;25
117;225;25
118;250;25
119;275;25
120;300;25
194;325;25
195;350;25
196;375;25
197;400;25
198;425;25
199;450;25
200;475;25
201;500;25
