1;33;22;
2;22;14;
3;14;8;
4;8;1;
5;1;2;
6;8;9;
7;14;15;
8;22;23;
9;33;32;
10;33;34;
11;34;32;
12;32;23;
13;23;15;
14;15;9;
15;9;2;
16;2;3;
17;9;10;
18;15;16;
19;23;24;
20;32;31;
21;34;35;
22;34;7;
23;7;35;
24;35;31;
25;31;24;
26;16;24;
27;16;10;
28;10;3;
29;3;4;
30;10;11;
31;16;17;
32;24;25;
33;31;30;
34;35;36;
35;7;20;
36;20;36;
37;36;30;
38;30;25;
39;25;17;
40;17;11;
41;11;4;
42;5;4;
43;11;12;
44;17;18;
45;25;26;
46;30;29;
47;36;37;
48;20;38;
49;38;37;
50;37;29;
51;29;26;
52;26;18;
53;18;12;
54;12;5;
55;38;21;
56;37;21;
57;29;28;
58;26;27;
59;18;19;
60;12;13;
61;5;6;
62;6;13;
63;13;19;
64;19;27;
65;27;28;
66;28;21;
